id,regency_id,nama_sekolah
122,5101,60702892 - MTSS AL MASYHUR
123,5101,69976410 - MTS RIYADLUS SHOLIHIN
124,5101,50103904 - SMP FIRDAUS NEGARA
125,5101,60724579 - SMKN 4 NEGARA
126,5102,50101443 - SD NEGERI 3 APUAN
127,5102,50101403 - SD NEGERI 1 DALANG
128,5102,50101434 - SD NEGERI 3 DENBANTAS
129,5102,50101143 - SMP NEGERI 2 SELEMADEG TIMUR
130,5102,50101124 - SMAN 1 KEDIRI
131,5102,50105525 - SMKS PARIWISATA BIWI TABANAN
132,5103,50101828 - SD No. 3 Kerobokan Kaja
133,5103,50101635 - SMP NEGERI 3 ABIANSEMAL
134,5103,50101614 - SMP SUNARI LOKA KUTA
135,5103,70011169 - SMP MUTIARA
136,5103,50101691 - SMKS PARIWISATA DALUNG
137,5104,50101984 - SD NEGERI 5 BEDULU
138,5104,50102119 - SD NEGERI 1 TEMESI
139,5104,50102241 - SD NEGERI 3 PETAK KAJA
140,5104,69894744 - MI 45 Gianyar
141,5104,69897120 - SDK SANTA MARIA RATU ROSARI
142,5104,50102170 - SD NEGERI 1 MELINGGIH KELOD
143,5104,50101912 - SD NEGERI 5 SUKAWATI
144,5104,50102185 - SD NEGERI 1 KETEWEL
145,5104,50103353 - SD JAMBE AGUNG
146,5104,50101948 - SD NEGERI 6 MAS
147,5104,50102011 - SMP NEGERI 4 UBUD
148,5105,50102429 - SD NEGERI 1 BUNGBUNGAN
149,5105,50102310 - SD NEGERI 7 SAKTI
150,5106,50102602 - SD NEGERI 2 CEMPAGA
151,5106,50102598 - SD NEGERI BANUA
152,5106,50103617 - SD NEGERI 3 SUKAWANA
153,5106,69900073 - SD Negeri 9 Songan
154,5106,50102673 - SD NEGERI 3 DEMULIH
155,5106,50102622 - SD NEGERI 1 PENINJOAN
156,5106,50102547 - SMP NEGERI 4 KINTAMANI
157,5106,50105530 - SMP NEGERI 4 SUSUT
158,5106,70011120 - SMKS ASKA BALI MANDALA
159,5107,50102953 - SD NEGERI 3 BUNUTAN
160,5107,50103002 - SD NEGERI 2 BUDAKELING
161,5107,50103798 - SD NEGERI 6 MENANGA
162,5107,50102752 - SD NEGERI 4 PERINGSARI
163,5107,50102698 - SD NEGERI 4 SIDEMEN
164,5107,50103661 - SMP NEGERI 1 BEBANDEM
165,5107,69759170 - SMP NEGERI SATU ATAP 7 BAN
166,5107,50105451 - SMP NEGERI SATU ATAP SANGKAN GUNUNG
167,5107,50103667 - SMAS JAGADITHA BUGBUG
168,5107,69861125 - SMK TI BALI GLOBAL - KARANGASEM
169,5108,50100458 - SD NEGERI 2 KAYUPUTIH
170,5108,50100153 - SD NEGERI 3 BANJAR JAWA
171,5108,50100433 - SD NEGERI 1 PELAPUAN
172,5108,50100488 - SD NEGERI 2 PATAS
173,5108,50100576 - SD NEGERI 4 BONDALEM
174,5108,50100318 - SMP NEGERI 3 BANJAR
175,5108,50100314 - SMP NEGERI 5 SINGARAJA
176,5108,50100327 - SMP NEGERI 2 BUSUNGBIU
177,5108,50100283 - SMAN 2 BANJAR
178,5108,69899614 - SMK NEGERI 1 GEROKGAK
179,5108,50100289 - SMKN 1 SUKASADA
180,5171,50103045 - SD NEGERI 2 SERANGAN
181,5171,50103912 - SD MUSTIKA
182,5171,69899665 - SDTK BALI STAR ACADEMY
183,5171,50103061 - SD NEGERI TULANGAMPIANG
184,5171,69859748 - SMP BINTANG PERSADA  DENPASAR
185,5171,50103658 - SMP NEGERI 6 DENPASAR
186,5171,69765012 - SMP MUSTIKA SCHOOL
187,5171,50103173 - SMAS PGRI 2 DENPASAR
188,5171,50103877 - SMAS TUNAS DAUD
189,5171,50103117 - SMKN 2 DENPASAR
190,5171,70003332 - SMA NEGERI 10 DENPASAR
191,3401,20409809 - SDIT MUTIARA INSANI
192,3401,20403037 - SD NEGERI MEJING
193,3401,20402918 - SD NEGERI BLUBUK
194,3401,60713997 - MI MA`ARIF SENDANG
195,3401,20403110 - SD NEGERI KALIKUTUK
196,3401,20403014 - SD NEGERI KALISARI
197,3401,20402770 - SMP NEGERI 2 NANGGULAN
198,3401,20409840 - SMK DARUL ULUM MUHAMMADIYAH GALUR
199,3401,69775731 - SMK NEGERI 1 GIRIMULYO
200,3401,20402836 - SMK MUHAMMADIYAH 1 LENDAH
201,3401,20407363 - SMK NEGERI 1 PANJATAN
202,3401,20400435 - SMK MUHAMMADIYAH 1 WATES
203,3402,20400193 - SD NEGERI TULASAN
204,3402,20400645 - SD NEGERI BONGGALAN
205,3402,20400546 - MIS MA`ARIF SAMAN
206,3402,20400541 - SD MUHAMMADIYAH GERSO
207,3402,20400693 - SD N GUNUNGSAREN
208,3402,20400331 - SMP NEGERI 3 BANGUNTAPAN
209,3402,20400288 - SMP TAMAN DEWASA 2 DLINGO
210,3402,20400307 - SMP MUHAMMADIYAH IMOGIRI
211,3402,20400305 - SMP MUHAMMADIYAH KASIHAN
212,3402,20400558 - MTSN 7 BANTUL
213,3402,20400286 - SMP YAYASAN PENDIDIKAN SANDEN
214,3402,69775329 - SMK KESEHATAN PELITA BANGSA
215,3402,20400436 - SMK MAARIF 1 KRETEK
216,3402,20400422 - SMK SANTO PAULUS 1 SEDAYU
217,3403,20402510 - SDN GUYANGAN GEDANGSARI
218,3403,20401818 - SDN SLAMETAN KARANGMOJO
219,3403,20402543 - SDN NGAWEN IV NGAWEN
220,3403,20402185 - SD KANISIUS BANDUNG I PLAYEN
221,3403,60714071 - MIS JALAKAN
222,3403,20401899 - SDN PONJONG IV PONJONG
223,3403,20402368 - SDN KANIGORO II SAPTOSARI
224,3403,20401876 - SDN NGEPOSARI II SEMANU
225,3403,60714093 - MIS YAPPI SENDANG
